,Date,Location,Ticket Type,Group
247,2024-08-29,NTUC FairPrice White Sands - 1 Pasir Ris Central Street 3 #B1-10 White Sands,1 QuickPick System 7 Entry,2
248,2024-08-29,Tan Wee Fong Trading - Block 24 Bendemeer Road #01-529,1 QuickPick Ordinary Entry,2
249,2024-08-29,Nel's Store - Block 741 Bedok Reservoir Road #01-3073,1 System Roll Entry,2
250,2024-08-29,Singapore Pools Account Betting Service - -,1 System 8 Entry,2
251,2024-08-29,Tampines Trading - 828 - Block 828 Tampines Street 81 #01-234,1 System 7 Entry,2
252,2024-08-29,Clifford Gift Shop - Block 532 Ang Mo Kio Avenue 10 #01-2459,1 Ordinary Entry,2
253,2024-08-26,Cheng Chew Wah Agency - Bedok South Road - Block 17 Bedok South Road #01-583,1 QuickPick Ordinary Entry,1
254,2024-08-22,Overseas Emporium (Private) Limited - 1 Park Road #02-70 People's Park Complex,1 QuickPick System 7 Entry,1
255,2024-08-22,Singapore Pools Teck Whye Branch - Block 141 Teck Whye Lane #01-271,1 QuickPick Ordinary Entry,1
256,2024-08-22,Singapore Pools People's Park Centre (Chinatown) Branch - 101 Upper Cross Street #01-12 People's Park Centre,1 System 8 Entry,1
257,2024-08-22,Singapore Pools Account Betting Service - -,1 QuickPick System 7 Entry,2
258,2024-08-22,Singapore Pools People's Park Centre (Chinatown) Branch - 101 Upper Cross Street #01-12 People's Park Centre,1 System 8 Entry,2
259,2024-08-22,NTUC FairPrice Bukit Batok MRT Station - 10 Bukit Batok Central #01-08 Bukit Batok MRT,1 System 7 Entry,2
260,2024-08-19,NTUC FairPrice Yishun MRT Station - 301 Yishun Avenue 2 #01-02 Yishun MRT,1 QuickPick System 7 Entry,2
261,2024-08-15,Li Thoe Trading - Block 119 Aljunied Avenue 2 #01-78,1 QuickPick Ordinary Entry,1
262,2024-08-15,Metro Woodlands - 1 Woodlands Square #01-18/19 Causeway Point,1 System 8 Entry,2
263,2024-08-15,NTUC FairPrice Telok Blangah Street 32 - Block 78A Telok Blangah Street 32 #01-01,1 Ordinary Entry,2
264,2024-08-12,NTUC FairPrice Clementi Avenue 3 - Block 451 Clementi Avenue 3 #01-307,1 QuickPick System 8 Entry,1
265,2024-08-12,Singapore Pools Account Betting Service - -,1 Ordinary Entry,1
266,2024-08-12,Singapore Pools Ghim Moh Branch - Block 21 Ghim Moh Road #01-161,1 QuickPick System 8 Entry,2
267,2024-08-12,Singapore Pools Account Betting Service - -,1 QuickPick System 7 Entry,2
268,2024-08-12,NTUC FairPrice New Upper Changi Road - Block 57 New Upper Changi Road #01-1334/1338,1 QuickPick Ordinary Entry,2
269,2024-08-12,Singapore Pools Account Betting Service - -,1 QuickPick Ordinary Entry,2
270,2024-08-12,Dawn Florist - 21 Hougang Street 51 #01-04A Hougang Green Shopping Mall,1 System 8 Entry,2
271,2024-08-12,Singapore Pools Account Betting Service - -,1 System 8 Entry,2
272,2024-08-12,NTUC FairPrice The Woodleigh Mall - 11 Bidadari Park Drive #B1-32/33 The Woodleigh Mall,1 System 7 Entry,2
273,2024-08-12,Singapore Pools Yishun N4 Branch - Block 415 Yishun Avenue 11 #01-311,1 System 7 Entry,2
274,2024-08-08,NTUC FairPrice Marine Parade Central - 6 Marine Parade Central,1 QuickPick Ordinary Entry,2
275,2024-08-08,NTUC FairPrice Yishun MRT Station - 301 Yishun Avenue 2 #01-02 Yishun MRT,1 QuickPick Ordinary Entry,2
276,2024-08-08,Kis Store - 3 Pickering Street #01-49 Nankin Row,1 System 8 Entry,2
277,2024-08-08,Sheng Siong Serangoon North Avenue 5 - 19 Serangoon North Avenue 5 #01-01,1 Ordinary Entry,2
278,2024-08-05,Kim Chwee Trading - Block 256 Jurong East Street 24 #01-385,1 QuickPick System 7 Entry,2
279,2024-08-05,NTUC FairPrice Bedok North Street 1 - Block 212 Bedok North Street 1 #01-147,1 QuickPick Ordinary Entry,2
280,2024-08-02,Singapore Pools Chin Swee Branch - Block 52 Chin Swee Road #01-65/69,1 QuickPick System 7 Entry,1
281,2024-08-02,Singapore Pools King George's Ave Branch - Block 803 King George's Avenue #01-200/202,1 QuickPick System 7 Entry,1
282,2024-08-02,Singapore Pools Account Betting Service - -,1 System 8 Entry,1
283,2024-08-02,iTOTO - System 1,iTOTO - System 12,1
284,2024-08-02,7-Eleven Store Choa Chu Kang Drive - Block 689B Choa Chu Kang Drive #01-306,1 QuickPick System 7 Entry,2
285,2024-08-02,Seah Koon Huat - Bukit Merah View - Block 116 Bukit Merah View #01-233,1 QuickPick System 7 Entry,2
286,2024-08-02,Singapore Pools Account Betting Service - -,1 QuickPick System 7 Entry,2
287,2024-08-02,Singapore Pools Bedok Town Centre Branch - Block 204 Bedok North Street 1 #01-415,1 QuickPick System 7 Entry,2
288,2024-08-02,A.P. Mini Mart - Bedok Reservoir Road - Block 121 Bedok Reservoir Road #01-200,1 QuickPick Ordinary Entry,2
289,2024-08-02,Giant Compassvale Bow - Block 266 Compassvale Bow #01-02,1 QuickPick Ordinary Entry,2
290,2024-08-02,Singapore Pools Account Betting Service - -,1 QuickPick Ordinary Entry,2
291,2024-08-02,7-Eleven Store Changi Road - 38A Changi Road,1 System 7 Entry,2
292,2024-08-02,Li Thoe Trading - Block 119 Aljunied Avenue 2 #01-78,1 Ordinary Entry,2
293,2024-08-02,iTOTO - System 1,iTOTO - System 12,2
294,2024-07-29,Singapore Pools Jurong West N5 Branch - Block 508 Jurong West Street 52 #01-166,1 System 7 Entry,1
295,2024-07-29,Kis Store - 3 Pickering Street #01-49 Nankin Row,1 QuickPick System 7 Entry,2
296,2024-07-29,Li Li Cheng Supermarket (Punggol) Pte Ltd - Block 273C Punggol Place #01-884,1 QuickPick System 7 Entry,2
297,2024-07-29,PFG Framing & Trading - Block 960 Jurong West Street 92 #01-182,1 QuickPick System 7 Entry,2
298,2024-07-29,Singapore Pools Woodlands N3 Branch - Block 305 Woodlands Street 31 #01-77,1 QuickPick System 7 Entry,2
299,2024-07-29,Giant Compassvale Bow - Block 266 Compassvale Bow #01-02,1 QuickPick Ordinary Entry,2
300,2024-07-29,Singapore Pools Account Betting Service - -,1 QuickPick Ordinary Entry,2
301,2024-07-29,Singapore Pools King George's Ave Branch - Block 803 King George's Avenue #01-200/202,1 Ordinary Entry,2
302,2024-07-29,iTOTO - System 1,iTOTO - System 12,2
303,2024-07-25,Singapore Pools Account Betting Service - -,1 QuickPick Ordinary Entry,2
304,2024-07-25,Singapore Pools Toa Payoh Lorong 1 Branch - Block 111 Toa Payoh Lorong 1 #01-354,1 QuickPick Ordinary Entry,2
305,2024-07-25,7-Eleven Store Eunos Crescent - Block 1A Eunos Crescent #01-2469/2471,1 System 8 Entry,2
306,2024-07-25,NTUC FairPrice Tai Seng - 18 Tai Seng Street #B1-13 Mapletree 18,1 System 8 Entry,2
307,2024-07-22,NTUC FairPrice Tampines Street 11 - Block 107 Tampines Street 11 #01-353/359,1 QuickPick System 7 Entry,2
308,2024-07-22,Singapore Pools Jalan Batu Branch - Block 7 Jalan Batu #01-99,1 System 8 Entry,2
309,2024-07-22,Laura's Gifts - Block 442 Pasir Ris Drive 6 #01-42,1 Ordinary Entry,2
310,2024-07-22,Singapore Pools Account Betting Service - -,1 Ordinary Entry,2
311,2024-07-18,Singapore Pools Jurong West N5 Branch - Block 508 Jurong West Street 52 #01-166,1 System 7 Entry,1
312,2024-07-18,NTUC FairPrice Jurong Gateway Road - Block 135 Jurong Gateway Road #01-337,1 Ordinary Entry,1
313,2024-07-18,NTUC FairPrice Tampines Mall - 4 Tampines Central 5 #B1-12 Tampines Mall,1 QuickPick System Roll Entry,2
314,2024-07-18,Singapore Pools Telok Blangah Branch - Block 6 Telok Blangah Crescent #01-418,1 QuickPick System 7 Entry,2
315,2024-07-18,Singapore Pools Account Betting Service - -,1 QuickPick Ordinary Entry,2
316,2024-07-18,NTUC FairPrice The Woodleigh Mall - 11 Bidadari Park Drive #B1-32/33 The Woodleigh Mall,1 System 11 Entry,2
317,2024-07-18,Singapore Pools Account Betting Service - -,1 System 10 Entry,2
318,2024-07-18,PFG Framing & Trading - Block 960 Jurong West Street 92 #01-182,1 System 8 Entry,2
319,2024-07-18,Singapore Pools Cheong Chin Nam Road Branch - 5 Cheong Chin Nam Road,1 System 8 Entry,2
320,2024-07-18,Singapore Pools Northpoint City Branch - 930 Yishun Avenue 2 #02-03 Northpoint City (North Wing),1 System 7 Entry,2
321,2024-07-15,Prime Compassvale Street - Block 263 Compassvale Street #01-01,1 QuickPick Ordinary Entry,2
322,2024-07-15,Singapore Pools Account Betting Service - -,1 QuickPick Ordinary Entry,2
323,2024-07-11,Singapore Pools Jurong West N4 Branch - Block 498 Jurong West Street 41 #01-472,1 QuickPick System 7 Entry,2
324,2024-07-11,Singapore Pools Account Betting Service - -,1 QuickPick Ordinary Entry,2
325,2024-07-11,Tong Aik Huat - Block 685 Hougang Street 61 #01-160,1 System 7 Entry,2
326,2024-07-08,Singapore Pools Account Betting Service - -,1 System 7 Entry,1
327,2024-07-08,Singapore Pools Toa Payoh Lorong 1 Branch - Block 111 Toa Payoh Lorong 1 #01-354,1 QuickPick System 8 Entry,2
328,2024-07-08,NTUC FairPrice Jem - 50 Jurong Gateway Road #B1-21/22 Jem,1 QuickPick System 7 Entry,2
329,2024-07-08,NTUC FairPrice Serangoon North Avenue 1 - Block 152B Serangoon North Avenue 1 #01-384,1 QuickPick System 7 Entry,2
330,2024-07-08,Singapore Pools Ang Mo Kio N4 Branch - Block 447 Ang Mo Kio Avenue 10 #01-1685,1 QuickPick Ordinary Entry,2
331,2024-07-08,NTUC FairPrice Punggol Plaza - 168 Punggol Field Road #03-01 Punggol Plaza,1 System 7 Entry,2
332,2024-07-08,Singapore Pools Ang Mo Kio N6 Branch - Block 630 Ang Mo Kio Avenue 4 #01-968,1 System 7 Entry,2
333,2024-07-08,7-Eleven Store McCallum Street - 3 McCallum Street,1 Ordinary Entry,2
334,2024-07-08,Singapore Pools Account Betting Service - -,1 Ordinary Entry,2
335,2024-07-04,Singapore Pools Account Betting Service - -,1 QuickPick Ordinary Entry,2
336,2024-07-04,Singapore Pools Bukit Gombak Branch - Block 374 Bukit Batok Street 31 #01-170,1 QuickPick Ordinary Entry,2
337,2024-07-04,Singapore Pools Empress Road Branch - Block 8 Empress Road #01-35,1 QuickPick Ordinary Entry,2
338,2024-07-04,iTOTO - System 1,iTOTO - System 12,2
339,2024-07-01,NTUC FairPrice Rivervale Mall - 11 Rivervale Crescent #03-01 Rivervale Mall,1 QuickPick System 7 Entry,1
340,2024-07-01,Tay Sui Lan Agency - 11 Collyer Quay #02-13 The Arcade,1 QuickPick Ordinary Entry,2
341,2024-07-01,Singapore Pools Account Betting Service - -,1 System 7 Entry,2
342,2024-07-01,NTUC FairPrice The Woodleigh Mall - 11 Bidadari Park Drive #B1-32/33 The Woodleigh Mall,1 Ordinary Entry,2
343,2024-06-27,Goh Geok Kwee Agency - Bukit Merah - Block 124 Bukit Merah Lane 1 #01-148,1 System 9 Entry,1
344,2024-06-27,Singapore Pools Account Betting Service - -,1 Ordinary Entry,1
345,2024-06-27,Singapore Pools Account Betting Service - -,1 QuickPick System Roll Entry,2
346,2024-06-27,Afro Asia Co Pte Ltd - Block 604 Yishun Street 61 #01-323,1 QuickPick System 7 Entry,2
347,2024-06-27,Singapore Pools Upper Boon Keng Branch - Block 18 Upper Boon Keng Road #01-1149/1151,1 QuickPick System 7 Entry,2
348,2024-06-27,Tong Aik Huat - Block 685 Hougang Street 61 #01-160,1 QuickPick System 7 Entry,2
349,2024-06-27,Seah Koon Huat - Bukit Merah View - Block 116 Bukit Merah View #01-233,1 System 8 Entry,2
350,2024-06-27,Singapore Pools Lorong Lew Lian Branch - Block 2 Lorong Lew Lian #01-46,1 System 7 Entry,2
351,2024-06-27,Singapore Pools Teck Whye Branch - Block 141 Teck Whye Lane #01-271,1 System 7 Entry,2
352,2024-06-27,7-Eleven Store Eunos Crescent - Block 1A Eunos Crescent #01-2469/2471,1 Ordinary Entry,2
353,2024-06-27,NTUC FairPrice Serangoon North Avenue 1 - Block 152B Serangoon North Avenue 1 #01-384,1 Ordinary Entry,2
354,2024-06-27,Sheng Siong Jalan Berseh   - 1 Jalan Berseh #B1-02 to #B1-22 New World Centre,1 Ordinary Entry,2
355,2024-06-27,Sheng Siong Junction 9 - 18 Yishun Avenue 9 #02-05 to #02-10 Junction 9,1 Ordinary Entry,2
356,2024-06-27,Singapore Pools Toa Payoh Lorong 1 Branch - Block 111 Toa Payoh Lorong 1 #01-354,1 Ordinary Entry,2
357,2024-06-20,NTUC FairPrice Toa Payoh HDB Centre - 500 Lorong 6 Toa Payoh #B1-32/#01-33 HDB Centre,1 System 8 Entry,1
358,2024-06-20,7-Eleven Store Plaza Singapura - 68 Orchard Road #01-51 Plaza Singapura,1 QuickPick System 7 Entry,2
359,2024-06-20,Singapore Pools Woodlands 888 Branch - 888 Woodlands Drive 50 #01-711 888 Plaza,1 QuickPick System 7 Entry,2
360,2024-06-20,Sheng Siong Sengkang West Ave - Block 455 Sengkang West Avenue #01-16,1 QuickPick Ordinary Entry,2
361,2024-06-20,NTUC FairPrice Toa Payoh HDB Centre - 500 Lorong 6 Toa Payoh #B1-32/#01-33 HDB Centre,1 System 8 Entry,2
362,2024-06-17,Singapore Pools Ang Mo Kio N4 Branch - Block 447 Ang Mo Kio Avenue 10 #01-1685,1 QuickPick System 7 Entry,1
363,2024-06-17,Singapore Pools Bishan N2 Branch - Block 279 Bishan Street 24 #01-52,1 QuickPick System 7 Entry,2
364,2024-06-17,Singapore Pools Account Betting Service - -,1 Ordinary Entry,2
365,2024-06-17,Singapore Pools Account Betting Service - -,1 Ordinary Entry,2
366,2024-06-17,Singapore Pools Teck Whye Branch - Block 141 Teck Whye Lane #01-271,1 Ordinary Entry,2
367,2024-06-13,Evercool Engineering - Block 95 Lorong 4 Toa Payoh #01-50,1 QuickPick System 7 Entry,2
368,2024-06-13,Singapore Pools Upper Boon Keng Branch - Block 18 Upper Boon Keng Road #01-1149/1151,1 Ordinary Entry,2
369,2024-06-10,Singapore Pools King George's Ave Branch - Block 803 King George's Avenue #01-200/202,1 QuickPick Ordinary Entry,1
370,2024-06-10,Cheers Changi Village Road - Block 4 Changi Village Road #01-2074,1 System Roll Entry,1
371,2024-06-10,NTUC FairPrice Bukit Merah Central - Block 166 Bukit Merah Central #02-3531,1 QuickPick System 7 Entry,2
372,2024-06-10,Singapore Pools Lucky Plaza Branch - 304 Orchard Road #B1-91/92 Lucky Plaza,1 QuickPick System 7 Entry,2
373,2024-06-10,NTUC FairPrice Punggol Plaza - 168 Punggol Field Road #03-01 Punggol Plaza,1 QuickPick Ordinary Entry,2
374,2024-06-10,Cheers Changi Village Road - Block 4 Changi Village Road #01-2074,1 System Roll Entry,2
375,2024-06-10,Giant Buangkok Crescent - Block 982 Buangkok Crescent #01-01,1 System 8 Entry,2
376,2024-06-10,Prime Keat Hong - Block 253 Choa Chu Kang Avenue 1 #B1-07 to 10,1 System 7 Entry,2
377,2024-06-10,Singapore Pools People's Park Centre (Chinatown) Branch - 101 Upper Cross Street #01-12 People's Park Centre,1 System 7 Entry,2
378,2024-06-10,Evercool Engineering - Block 95 Lorong 4 Toa Payoh #01-50,1 Ordinary Entry,2
379,2024-06-10,Singapore Pools Circuit Road 64 Branch - Block 64 Circuit Road #01-355,1 Ordinary Entry,2
380,2024-06-10,Singapore Pools Fajar Road Branch - Block 445 Fajar Road #02-540,1 Ordinary Entry,2
381,2024-06-10,Singapore Pools Gek Poh Shopping Centre (Jurong West N7) Branch - 762 Jurong West Street 75 #01-338 Gek Poh Shopping Centre,1 Ordinary Entry,2
382,2024-06-10,Springdale Garments Co - Block 408 Ang Mo Kio Avenue 10 #01-795,1 Ordinary Entry,2
383,2024-06-06,Singapore Pools Account Betting Service - -,1 Ordinary Entry,1
384,2024-06-06,NTUC FairPrice AMK Hub - 53 Ang Mo Kio Avenue 3 #B2-40 AMK Hub,1 QuickPick Ordinary Entry,2
385,2024-06-06,Singapore Pools Account Betting Service - -,1 QuickPick Ordinary Entry,2
386,2024-06-06,Singapore Pools Account Betting Service - -,2 System 7 Entry,2
387,2024-06-06,Ng Teo Guan Self Service - Block 301 Ubi Avenue 1 #01-241,1 System 7 Entry,2
388,2024-06-03,Seah Geok Eng Agency - Rivervale Plaza - 118 Rivervale Drive #01-15 Rivervale Plaza,1 QuickPick Ordinary Entry,1
389,2024-06-03,Seah Geok Eng Agency - Rivervale Plaza - 118 Rivervale Drive #01-15 Rivervale Plaza,1 QuickPick Ordinary Entry,2
390,2024-05-30,Evercool Engineering - Block 95 Lorong 4 Toa Payoh #01-50,1 System 7 Entry,1
391,2024-05-30,Singapore Pools Bukit Panjang Branch - Block 257 Bangkit Road #01-49,1 QuickPick Ordinary Entry,2
392,2024-05-30,7-Eleven Store McCallum Street - 3 McCallum Street,1 Ordinary Entry,2
393,2024-05-27,7-Eleven Store Foch Road - 27 Foch Road #01-07/08 Hoa Nam Building,1 QuickPick Ordinary Entry,1
394,2024-05-27,Singapore Pools Bedok Town Centre Branch - Block 204 Bedok North Street 1 #01-415,1 QuickPick System 8 Entry,2
395,2024-05-27,Singapore Pools LOT One Branch - 21 Choa Chu Kang Avenue 4 #03-09 Lot 1 Shoppers' Mall,1 QuickPick Ordinary Entry,2
396,2024-05-23,Lee Eng Trading Store - Block 201B Tampines Street 21 #01-1083,1 QuickPick System 8 Entry,2
397,2024-05-23,Delisia Agency Pte Ltd - 149 Rochor Road #B1-26 Fu Lu Shou Complex,1 System 7 Entry,2
398,2024-05-23,Seah Geok Eng Agency - Rivervale Plaza - 118 Rivervale Drive #01-15 Rivervale Plaza,1 System 7 Entry,2
399,2024-05-20,Singapore Pools Changi Road Branch - 324K Changi Road,1 QuickPick System 9 Entry,1
400,2024-05-20,iTOTO - System 1,iTOTO - System 12,1
401,2024-05-20,NTUC FairPrice Lot 1 Shoppers' Mall - 21 Choa Chu Kang Avenue 4 #B1-03 Lot 1 Shoppers' Mall,1 QuickPick System 7 Entry,2
402,2024-05-20,Singapore Pools Account Betting Service - -,1 QuickPick System 7 Entry,2
403,2024-05-20,Singapore Pools Account Betting Service - -,1 QuickPick System 7 Entry,2
404,2024-05-20,Tampines Trading - 828 - Block 828 Tampines Street 81 #01-234,1 QuickPick Ordinary Entry,2
405,2024-05-20,Giant Compassvale Bow - Block 266 Compassvale Bow #01-02,1 System 7 Entry,2
406,2024-05-16,Prime Compassvale Street - Block 263 Compassvale Street #01-01,1 QuickPick System 7 Entry,2
407,2024-05-16,Singapore Pools Account Betting Service - -,1 QuickPick System 7 Entry,2
408,2024-05-16,NTUC FairPrice Hillion Mall - 17 Petir Road #B2-67 Hillion Mall,1 QuickPick Ordinary Entry,2
409,2024-05-16,Singapore Pools Account Betting Service - -,1 System 9 Entry,2
410,2024-05-13,Livewire Singapore Pools - 210 Middle Road #01-01 Singapore Pools Building,1 QuickPick System 8 Entry,2
411,2024-05-13,Singapore Pools Account Betting Service - -,1 QuickPick System 8 Entry,2
412,2024-05-13,Singapore Pools Account Betting Service - -,1 QuickPick System 7 Entry,2
413,2024-05-13,NTUC FairPrice Xpress Macpherson Road - 110 MacPherson Road ExxonMobil,1 QuickPick Ordinary Entry,2
414,2024-05-09,Singapore Pools Account Betting Service - -,1 System 7 Entry,1
415,2024-05-09,Singapore Pools Account Betting Service - -,1 QuickPick System 11 Entry,2
416,2024-05-09,Singapore Pools Account Betting Service - -,1 QuickPick System 8 Entry,2
417,2024-05-09,Singapore Pools Bukit Batok N3 Branch - Block 324 Bukit Batok Street 33 #01-47,1 QuickPick System 7 Entry,2
418,2024-05-09,Singapore Pools Chinatown Point Branch - 133 New Bridge Road #B1-06 Chinatown Point,1 QuickPick System 7 Entry,2
419,2024-05-09,Giant Pioneer Mall - 638 Jurong West Street 61 #03-01 Pioneer Mall,1 QuickPick Ordinary Entry,2
420,2024-05-09,NTUC FairPrice The Woodleigh Mall - 11 Bidadari Park Drive #B1-32/33 The Woodleigh Mall,1 QuickPick Ordinary Entry,2
421,2024-05-09,Singapore Pools Gek Poh Shopping Centre (Jurong West N7) Branch - 762 Jurong West Street 75 #01-338 Gek Poh Shopping Centre,1 QuickPick Ordinary Entry,2
422,2024-05-09,NTUC FairPrice Boon Lay Place - 221 Boon Lay Place #02-200 Boon Lay Shopping Complex,1 System 7 Entry,2
423,2024-05-09,Prime Keat Hong - Block 253 Choa Chu Kang Avenue 1 #B1-07 to 10,1 Ordinary Entry,2
424,2024-05-09,iTOTO - System 1,iTOTO - System 12,2
425,2024-05-09,iTOTO - System 1,iTOTO - System 12,2
426,2024-05-09,iTOTO - System 1,iTOTO - System 12,2
427,2024-05-06,Rangoon Provision Shop - Block 681 Race Course Road #01-309,1 System Roll Entry,2
428,2024-05-06,7-Eleven Store Changi Road - 38A Changi Road,1 System 8 Entry,2
429,2024-05-06,Everstream Trading - Block 283 Bukit Batok East Avenue 3 #01-281,1 System 7 Entry,2
430,2024-05-02,NTUC FairPrice Sengkang East Ave - Block 279 Sengkang East Avenue #01-06,1 Ordinary Entry,2
431,2024-04-29,Singapore Pools Account Betting Service - -,1 QuickPick System Roll Entry,2
432,2024-04-29,Prime Joo Seng - Block 1 Upper Aljunied Lane #01-01,1 Ordinary Entry,2
433,2024-04-25,Tong Aik Huat - Block 685 Hougang Street 61 #01-160,1 QuickPick System 8 Entry,1
434,2024-04-25,Singapore Pools Account Betting Service - -,1 Ordinary Entry,1
435,2024-04-25,Singapore Pools Suntec City Branch - 3 Temasek Boulevard #B1-143 Suntec City,1 QuickPick System 7 Entry,2
436,2024-04-25,Tan Wee Fong Trading - Block 24 Bendemeer Road #01-529,1 QuickPick System 7 Entry,2
437,2024-04-25,NTUC FairPrice Yishun MRT Station - 301 Yishun Avenue 2 #01-02 Yishun MRT,1 System 11 Entry,2
438,2024-04-25,Singapore Pools Toa Payoh Lorong 1 Branch - Block 111 Toa Payoh Lorong 1 #01-354,1 System 7 Entry,2
439,2024-04-25,Prime Admiralty Place - Block 678A Woodlands Avenue 6 #01-19,1 Ordinary Entry,2
440,2024-04-25,iTOTO - System 1,iTOTO - System 12,2
441,2024-04-22,Singapore Pools Hougang N1 Branch - Block 106 Hougang Avenue 1 #01-1209/1211,1 QuickPick System 7 Entry,2
442,2024-04-22,NTUC FairPrice Le Quest - 4 Bukit Batok Street 41 #01-91/92 Le Quest,1 System 8 Entry,2
443,2024-04-22,Singapore Pools Account Betting Service - -,1 Ordinary Entry,2
444,2024-04-22,Singapore Pools Ang Mo Kio N2A Branch - Block 226A Ang Mo Kio Avenue 1 #01-625,1 Ordinary Entry,2
445,2024-04-22,iTOTO - System 1,iTOTO - System 12,2
446,2024-04-15,Cheng Tai Boon Beng - 150 Orchard Road #01-63 Orchard Plaza,1 QuickPick System 7 Entry,1
447,2024-04-15,Singapore Pools Account Betting Service - -,1 Ordinary Entry,1
448,2024-04-15,Singapore Pools Account Betting Service - -,1 QuickPick System Roll Entry,2
449,2024-04-15,Singapore Pools Tanjong Pagar Branch - Block 1 Tanjong Pagar Plaza #01-49/50,1 QuickPick System 9 Entry,2
450,2024-04-15,Cold Storage Compass One - 1 Sengkang Square #B1-25 Compass One,1 QuickPick Ordinary Entry,2
451,2024-04-15,Sheng Siong Serangoon North Avenue 5 - 19 Serangoon North Avenue 5 #01-01,1 System 7 Entry,2
452,2024-04-15,Singapore Pools Account Betting Service - -,1 System 7 Entry,2
453,2024-04-11,Soh Choo Trading - Block 19 Marsiling Lane #01-303,1 QuickPick Ordinary Entry,2
454,2024-04-08,Nan Huat Wine Store - Block 513 Bishan Street 13 #01-508,1 System 7 Entry,1
455,2024-04-08,NTUC FairPrice Hougang Mall - 90 Hougang Avenue 10 #B1-07 Hougang Mall,1 QuickPick System 7 Entry,2
456,2024-04-08,Ng Teo Guan Self Service - Block 301 Ubi Avenue 1 #01-241,1 QuickPick Ordinary Entry,2
457,2024-04-08,Singapore Pools Clementi Town Centre Branch - Block 446 Clementi Avenue 3 #01-183,1 System 7 Entry,2
458,2024-04-04,Singapore Pools Account Betting Service - -,1 QuickPick System 7 Entry,2
459,2024-04-04,NTUC FairPrice Tampines Mall - 4 Tampines Central 5 #B1-12 Tampines Mall,1 QuickPick Ordinary Entry,2
460,2024-04-04,Singapore Pools People's Park Centre (Chinatown) Branch - 101 Upper Cross Street #01-12 People's Park Centre,1 System 7 Entry,2
461,2024-04-04,Singapore Pools LOT One Branch - 21 Choa Chu Kang Avenue 4 #03-09 Lot 1 Shoppers' Mall,1 Ordinary Entry,2
462,2024-04-01,Singapore Pools Jalan Batu Branch - Block 7 Jalan Batu #01-99,1 System Roll Entry,1
463,2024-04-01,Seah Geok Eng Agency - Upper Serangoon View - Block 476D Upper Serangoon View #02-02,1 QuickPick System 7 Entry,2
464,2024-04-01,Singapore Pools Jalan Batu Branch - Block 7 Jalan Batu #01-99,1 System Roll Entry,2
465,2024-04-01,NTUC FairPrice Jurong Point - 63 Jurong West Central 3 #03-01 Jurong Point,1 System 8 Entry,2
466,2024-03-28,Giant Greenridge Shopping Centre - 524A Jelapang Road #03-13/18 Greenridge Shopping Centre,1 QuickPick Ordinary Entry,2
467,2024-03-28,Kis Store - 3 Pickering Street #01-49 Nankin Row,1 Ordinary Entry,2
468,2024-03-28,NTUC FairPrice Marsiling MRT Station - 71 Woodlands Avenue 3 #01-01 Marsiling MRT,1 Ordinary Entry,2
469,2024-03-28,Singapore Pools Account Betting Service - -,1 Ordinary Entry,2
470,2024-03-25,Singapore Pools Jalan Batu Branch - Block 7 Jalan Batu #01-99,1 System 8 Entry,1
471,2024-03-25,Li Thoe Trading - Block 119 Aljunied Avenue 2 #01-78,1 Ordinary Entry,1
472,2024-03-25,Li Thoe Trading - Block 119 Aljunied Avenue 2 #01-78,1 QuickPick System 7 Entry,2
473,2024-03-25,China Square Betting Centre - Lottery Lobby (Public) - 51 Telok Ayer Street #03-00 China Square Food Centre,1 Ordinary Entry,2
474,2024-03-25,NTUC FairPrice The Woodleigh Mall - 11 Bidadari Park Drive #B1-32/33 The Woodleigh Mall,1 Ordinary Entry,2
475,2024-03-21,Prime Punggol Field - Block 108 Punggol Field #01-02,1 QuickPick System 7 Entry,2
476,2024-03-18,Chua Hong Kim Trading  - Block 237 Serangoon Avenue 3 #01-108,1 QuickPick System 7 Entry,2
477,2024-03-18,Singapore Pools Account Betting Service - -,1 QuickPick Ordinary Entry,2
478,2024-03-14,NTUC FairPrice NEX - 23 Serangoon Central #03-42 NEX,1 QuickPick System 7 Entry,1
479,2024-03-14,Singapore Pools Canberra Branch - Block 505 Canberra Link #01-02,1 QuickPick System 7 Entry,1
480,2024-03-14,NTUC FairPrice Jurong Gateway Road - Block 135 Jurong Gateway Road #01-337,1 QuickPick Ordinary Entry,1
481,2024-03-14,Tong Aik Huat - Block 685 Hougang Street 61 #01-160,1 QuickPick System Roll Entry,2
482,2024-03-14,Lee Eng Trading Store - Block 201B Tampines Street 21 #01-1083,1 QuickPick System 7 Entry,2
483,2024-03-14,Livewire Singapore Pools - 210 Middle Road #01-01 Singapore Pools Building,1 QuickPick System 7 Entry,2
484,2024-03-14,Singapore Pools Account Betting Service - -,1 QuickPick System 7 Entry,2
485,2024-03-14,Prime Keat Hong - Block 253 Choa Chu Kang Avenue 1 #B1-07 to 10,1 QuickPick Ordinary Entry,2
486,2024-03-14,Prime Yishun Avenue 6 - Block 461 Yishun Avenue 6 #01-01,1 QuickPick Ordinary Entry,2
487,2024-03-14,Singapore Pools Account Betting Service - -,1 QuickPick Ordinary Entry,2
488,2024-03-14,Prime Punggol Field - Block 108 Punggol Field #01-02,1 System 12 Entry,2
